SITENAME,LAYER,COUNTRY,REGION,technocomplex,TC_ID,LEP,DATETYPE,LABID,C14AGE,C14STD,REFS,LON,LAT,quality
?andalja II,H,Croatia,E,Aurignacian,?,,AMS,OxA-23376,42300,1500,Vander Linden (unpublished),13.8967,44.8825,3
Blazi cave,4 (trench 1),Albania,E,Aurignacian,?,,AMS,COL1958.1.1,40713,827,Hauck et al. 2016,20.01013,41.71206,3
Bukovac,C (outside trench),Croatia,E,Early Upper Palaeolithic,OK,,AMS,UBA 24514,39871,835,Jankovi? et al. 2018,14.765,45.354,1
Blazi cave,4 (trench 1),Albania,E,Aurignacian,?,,AMS,COL1956.1.1,39648,722,Hauck et al. 2016,20.01013,41.71206,3
Riparo Broion,1g,Italy,W,Uluzzian,OK,,AMS,OxA-35527,38900,1000,Peresani et al. 2019,11.5926,45.485,5
Grotta di Paina,9,Italy,W,Aurignacian,OK,,AMS,UtC-2695,38600,1400,Mussi 2001,11.5309,45.4405,1
Grotta di Paina,9,Italy,W,Aurignacian,OK,,AMS,UtC-2042,37900,800,Mussi 2001,11.5309,45.4405,1
Romualdova pe?ina,9c2,Croatia,E,Aurignacian,?,,AMS,Poz-80124,37500,900,Jankovic et al. (unpublished),13.7373,45.1275,5
Fumane (only validate dates),A2,Italy,W,Proto-Aurignacian,OK,,AMS,OxA-19584,35850,310,Higham et al. 2009,10.96664,45.50618,1
Fumane (only validate dates),A2,Italy,W,Proto-Aurignacian,OK,,AMS,OxA-17569,35640,220,Higham et al. 2009,10.96664,45.50618,1
Fumane (only validate dates),A2,Italy,W,Proto-Aurignacian,OK,,AMS,OxA-17570,35180,220,Higham et al. 2009,10.96664,45.50618,1
Fumane (only validate dates),A2,Italy,W,Proto-Aurignacian,OK,,AMS,OxA-19412,34940,280,Higham et al. 2009,10.96664,45.50618,1
Grotta Paglicci,24,Italy,W,Aurignacian,OK,,AMS,UtC-????,34300,800,Mussi et al. 2006,15.615192,41.653984,1
Fumane (only validate dates),A2,Italy,W,Proto-Aurignacian,OK,,AMS,OxA-19414,34180,270,Higham et al. 2009,10.96664,45.50618,1
Fumane (only validate dates),D3b?,Italy,W,Aurignacian,OK,,AMS,OxA-17981,33890,220,Higham et al. 2009,10.96664,45.50618,1
Velika pecina,i,Croatia,E,Early Upper Paleolithic (Aurignacian?),?,,non-AMS,GrN-4979,33850,520,Malez and Vogel 1970,15.56333333,44.03166667,4
Rastu?a,Trench 1 (layer 14),Bosnia and Herzegovina,E,Middle Palaeolithic,?,,AMS,OxA-23605,33700,550,Vander Linden (unpublished),17.59,44.42,4
?andalja II,F,Croatia,E,Aurignacian,?,,AMS,OxA-2373-49,33355,290,Richards et al. 2015,13.8967,44.8825,1
Rastu?a,Trench 1 (layer 14),Bosnia and Herzegovina,E,Middle Palaeolithic,?,,AMS,OxA-23604,32650,450,Vander Linden (unpublished),17.59,44.42,4
Riparo Broion,1g,Italy,W,Uluzzian,?,,AMS,UtC-11790,32100,400,Peresani et al. 2019,11.5926,45.4852,5
Salitrena pecina,5a,Serbia,E,Aurignacian,OK,,AMS,Beta-237688,31980,360,Mar°n-Arroyo and Mihailovic 2017,19.87943,44.0794,1
Riparo Broion,1g,Italy,W,Uluzzian,?,,AMS,UtC-12509,31700,400,Peresani et al. 2019,11.5926,45.4852,5
Fumane (only validate dates),D1d,Italy,W,Gravettian,?,,AMS,OxA-17571,31590,160,Higham et al. 2009,10.96664,45.50618,1
Fumane (only validate dates),D1d,Italy,W,Gravettian,?,,AMS,OxA-11348,31490,250,Higham et al. 2009,10.96664,45.50618,1
Bukovac,4 (inside trench),Croatia,E,no artefacts,?,,AMS,Beta 291915,31360,260,Jankovi? et al. 2018,14.765,45.354,5
Bukovac,4A (inside trench),Croatia,E,no artefacts,?,,AMS,Beta 287819,31030,250,Jankovi? et al. 2018,14.765,45.354,5
